"","activity1","builtin1","communication1","entertainment1","finance1","game1","office1","other1","social1","travel1","unknown1","utilities1","weather1","call1","arousal1","valence1","mood1","screen1","sms1","activity2","builtin2","communication2","entertainment2","finance2","game2","office2","other2","social2","travel2","unknown2","utilities2","weather2","call2","arousal2","valence2","mood2","screen2","sms2","activity3","builtin3","communication3","entertainment3","finance3","game3","office3","other3","social3","travel3","unknown3","utilities3","weather3","call3","arousal3","valence3","mood3","screen3","sms3","activity4","builtin4","communication4","entertainment4","finance4","game4","office4","other4","social4","travel4","unknown4","utilities4","weather4","call4","arousal4","valence4","mood4","screen4","sms4","activity5","builtin5","communication5","entertainment5","finance5","game5","office5","other5","social5","travel5","unknown5","utilities5","weather5","call5","arousal5","valence5","mood5","screen5","sms5","target"
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103851209253417,0.687111637704055,6.99006309148265,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103851209253417,0.687111637704055,6.99006309148265,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.103851209253417,0.687111637704055,6.99006309148265,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.103851209253417,0.687111637704055,6.99006309148265,0,0,0.081547619047619,248.979,2168.229,350.856,0,0,0,11.345,807.731,0,45.173,21.074,0,1,-0.103851209253417,0.687111637704055,6.99006309148265,2275.94400024414,0,6.2
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103851209253417,0.687111637704055,6.99006309148265,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.103851209253417,0.687111637704055,6.99006309148265,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.103851209253417,0.687111637704055,6.99006309148265,0,0,0.081547619047619,248.979,2168.229,350.856,0,0,0,11.345,807.731,0,45.173,21.074,0,1,-0.103851209253417,0.687111637704055,6.99006309148265,2275.94400024414,0,0.134050103989389,3139.218,6280.89,1007.456,49.544,0,172.206,239.751,4508.5,915.445,0,598.754,0,6,0.2,0.2,6.2,17978.9070000648,0,6.4
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.103851209253417,0.687111637704055,6.99006309148265,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.103851209253417,0.687111637704055,6.99006309148265,0,0,0.081547619047619,248.979,2168.229,350.856,0,0,0,11.345,807.731,0,45.173,21.074,0,1,-0.103851209253417,0.687111637704055,6.99006309148265,2275.94400024414,0,0.134050103989389,3139.218,6280.89,1007.456,49.544,0,172.206,239.751,4508.5,915.445,0,598.754,0,6,0.2,0.2,6.2,17978.9070000648,0,0.236880219239958,731.429,4962.918,93.324,21.076,0,0,98.143,439.632,37.305,0,117.621,0,3,0.6,0.5,6.4,6142.16099953651,1,6.8
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.103851209253417,0.687111637704055,6.99006309148265,0,0,0.081547619047619,248.979,2168.229,350.856,0,0,0,11.345,807.731,0,45.173,21.074,0,1,-0.103851209253417,0.687111637704055,6.99006309148265,2275.94400024414,0,0.134050103989389,3139.218,6280.89,1007.456,49.544,0,172.206,239.751,4508.5,915.445,0,598.754,0,6,0.2,0.2,6.2,17978.9070000648,0,0.236880219239958,731.429,4962.918,93.324,21.076,0,0,98.143,439.632,37.305,0,117.621,0,3,0.6,0.5,6.4,6142.16099953651,1,0.142741115805064,1286.246,5237.319,94.346,43.403,0,0,72.823,900.839,0,0,30.086,30.386,0,0.2,0.8,6.8,6773.83200144767,0,6
"20",0.081547619047619,248.979,2168.229,350.856,0,0,0,11.345,807.731,0,45.173,21.074,0,1,-0.103851209253417,0.687111637704055,6.99006309148265,2275.94400024414,0,0.134050103989389,3139.218,6280.89,1007.456,49.544,0,172.206,239.751,4508.5,915.445,0,598.754,0,6,0.2,0.2,6.2,17978.9070000648,0,0.236880219239958,731.429,4962.918,93.324,21.076,0,0,98.143,439.632,37.305,0,117.621,0,3,0.6,0.5,6.4,6142.16099953651,1,0.142741115805064,1286.246,5237.319,94.346,43.403,0,0,72.823,900.839,0,0,30.086,30.386,0,0.2,0.8,6.8,6773.83200144767,0,0.078961056115598,866.956,9270.629,976.971,34.106,0,3.01,66.558,3223.626,419.805,0,178.732,0,10,0.8,0,6,15047.3510005474,0,6.75
"21",0.134050103989389,3139.218,6280.89,1007.456,49.544,0,172.206,239.751,4508.5,915.445,0,598.754,0,6,0.2,0.2,6.2,17978.9070000648,0,0.236880219239958,731.429,4962.918,93.324,21.076,0,0,98.143,439.632,37.305,0,117.621,0,3,0.6,0.5,6.4,6142.16099953651,1,0.142741115805064,1286.246,5237.319,94.346,43.403,0,0,72.823,900.839,0,0,30.086,30.386,0,0.2,0.8,6.8,6773.83200144767,0,0.078961056115598,866.956,9270.629,976.971,34.106,0,3.01,66.558,3223.626,419.805,0,178.732,0,10,0.8,0,6,15047.3510005474,0,0.0983741123905068,1032.768,10276.751,68.206,43.054,0,0,178.819,1919.471,0,235.223,222.893,0,0,0.5,0.5,6.75,21475.3549990654,1,6.6
"22",0.236880219239958,731.429,4962.918,93.324,21.076,0,0,98.143,439.632,37.305,0,117.621,0,3,0.6,0.5,6.4,6142.16099953651,1,0.142741115805064,1286.246,5237.319,94.346,43.403,0,0,72.823,900.839,0,0,30.086,30.386,0,0.2,0.8,6.8,6773.83200144767,0,0.078961056115598,866.956,9270.629,976.971,34.106,0,3.01,66.558,3223.626,419.805,0,178.732,0,10,0.8,0,6,15047.3510005474,0,0.0983741123905068,1032.768,10276.751,68.206,43.054,0,0,178.819,1919.471,0,235.223,222.893,0,0,0.5,0.5,6.75,21475.3549990654,1,0.101308321670076,1167.497,8988.753,910.479,52.331,0,0,97.498,4592.059,0,0,33.365,0,0,-0.2,0.6,6.6,16423.8010003567,0,7
"23",0.142741115805064,1286.246,5237.319,94.346,43.403,0,0,72.823,900.839,0,0,30.086,30.386,0,0.2,0.8,6.8,6773.83200144767,0,0.078961056115598,866.956,9270.629,976.971,34.106,0,3.01,66.558,3223.626,419.805,0,178.732,0,10,0.8,0,6,15047.3510005474,0,0.0983741123905068,1032.768,10276.751,68.206,43.054,0,0,178.819,1919.471,0,235.223,222.893,0,0,0.5,0.5,6.75,21475.3549990654,1,0.101308321670076,1167.497,8988.753,910.479,52.331,0,0,97.498,4592.059,0,0,33.365,0,0,-0.2,0.6,6.6,16423.8010003567,0,0.159510640969097,1229.327,6936.512,639.339,42.219,0,182.451,58.532,935.381,47.314,0,179.029,0,2,0.2,0.8,7,17442.1499993801,1,6.4
"24",0.078961056115598,866.956,9270.629,976.971,34.106,0,3.01,66.558,3223.626,419.805,0,178.732,0,10,0.8,0,6,15047.3510005474,0,0.0983741123905068,1032.768,10276.751,68.206,43.054,0,0,178.819,1919.471,0,235.223,222.893,0,0,0.5,0.5,6.75,21475.3549990654,1,0.101308321670076,1167.497,8988.753,910.479,52.331,0,0,97.498,4592.059,0,0,33.365,0,0,-0.2,0.6,6.6,16423.8010003567,0,0.159510640969097,1229.327,6936.512,639.339,42.219,0,182.451,58.532,935.381,47.314,0,179.029,0,2,0.2,0.8,7,17442.1499993801,1,0.0956980216371201,10062.595,866.833,1005.403,89.166,233.036,0,225.951,512.741,1133.009,0,301.717,0,5,-0.6,0.6,6.4,4923.48899960518,0,8
"25",0.0983741123905068,1032.768,10276.751,68.206,43.054,0,0,178.819,1919.471,0,235.223,222.893,0,0,0.5,0.5,6.75,21475.3549990654,1,0.101308321670076,1167.497,8988.753,910.479,52.331,0,0,97.498,4592.059,0,0,33.365,0,0,-0.2,0.6,6.6,16423.8010003567,0,0.159510640969097,1229.327,6936.512,639.339,42.219,0,182.451,58.532,935.381,47.314,0,179.029,0,2,0.2,0.8,7,17442.1499993801,1,0.0956980216371201,10062.595,866.833,1005.403,89.166,233.036,0,225.951,512.741,1133.009,0,301.717,0,5,-0.6,0.6,6.4,4923.48899960518,0,0.0682028101018696,1952.63,2720.692,1627.429,0,0,0,169.594,472.888,52.435,0,600.637,0,4,0.2,1,8,8322.6219997406,1,7.5
