"","id","time","target","weekday","month","social","travel","unknown","utilities","weather","call","arousal","valence","mood","count","screen","sms","activity","builtin","communication","entertainment","finance","game","office","other"
"1","AS14.01",2014-03-26,6.6,3,3,2198.4136,274.511,47.0446,229.6172,6.0772,3.8,0.46,0.4,6.43,4.8,13483.5212001324,0.4,0.138201321508103,1411.3234,7205.7014,448.0606,38.2366,0,35.0432,131.2188
"2","AS14.01",2014-03-27,7,4,3,2215.1254,91.422,47.0446,116.5394,6.0772,2.6,0.38,0.48,6.51,4.8,13172.5000001907,0.4,0.131652965044241,1016.9792,7747.274,428.6652,38.794,0,0.602,102.7682
"3","AS14.01",2014-03-28,6.4,5,3,2314.2752,93.4238,47.0446,128.821,6.0772,2.4,0.3,0.54,6.63,4.8,15432.4978001595,0.4,0.116179049390068,1116.5588,8141.9928,537.8682,43.0226,0,37.0922,94.846
"4","AS14.01",2014-03-29,8,6,3,2236.6556,320.0256,47.0446,183.1472,0,3.4,0.14,0.5,6.55,4.8,15062.429199791,0.4,0.10677043055648,2871.8286,7267.8956,720.0796,52.1752,46.6072,37.0922,125.4716
"5","AS14.01",2014-03-30,7.5,0,3,1686.508,246.5516,47.0446,267.5282,0,2.2,0.02,0.7,6.95,4.8,13717.4833996296,0.6,0.104618781353734,3088.9634,5957.9082,850.1712,45.354,46.6072,36.4902,146.0788
"6","AS14.01",2014-03-31,7.4,1,3,1336.1508,246.5516,13.2954,230.6088,0,2.2,-0.18,0.75,7.1,4.8,10327.0552000046,0.4,0.0947625529799409,2965.2828,4162.259,1143.6654,36.7432,46.6072,36.4902,125.1156
"7","AS14.01",2014-04-01,6,2,4,687.87,283.2278,19.1534,265.9968,0,3.4,-0.14,0.75,7.26,4.8,9409.66180000304,0.4,0.0886019848226037,3324.0644,3431.0358,1313.3536,34.528,56.8424,36.4902,159.3268
"8","AS14.01",2014-04-02,6.5,3,4,1508.8072,596.6892,19.1534,333.7182,0,3.2,-0.14,0.59,7.06,4.8,9356.01300053596,0.2,0.0803885051713315,3355.3024,3262.8386,1391.6132,135.6494,103.7906,18.4776,171.8584
"9","AS14.01",2014-04-03,6.4,4,4,2092.0174,370.0874,19.1534,341.649,0,3,0.0466666666666666,0.603333333333333,7.08,4.6,12643.0174005985,0.2,0.081632222971552,2065.6532,4473.5032,1459.2078,167.3716,57.1834,36.5738,234.9764
"10","AS14.01",2014-04-04,6.2,5,4,2628.288,363.4168,19.1534,258.076,0,3,-0.233333333333333,0.403333333333333,6.76,4.6,15258.8600008011,0,0.0778393554928663,2139.42,6816.9812,1392.4482,182.6184,57.1834,36.5738,243.838
"11","AS14.01",2014-04-05,6.8,6,4,3011.9904,395.065,5.858,276.1552,0,3.4,-0.0933333333333334,0.333333333333333,6.5,4.8,16830.0994006157,0.2,0.0933586236300231,2448.1128,7653.6058,1394.3582,182.6184,57.1834,36.5738,264.3976
"12","AS14.01",2014-04-06,6.5,0,4,2814.501,395.9778,0,257.8854,0,2.2,-0.173333333333333,0.333333333333333,6.38,4.8,15130.8188005448,0.2,0.103057987894034,4887.6698,6964.1602,1057.848,174.3674,46.9482,36.5738,226.9134
"13","AS14.01",2014-04-07,6.5,1,4,1870.7796,73.0536,0,163.608,0,2.8,-0.363333333333333,0.433333333333333,6.48,4.6,13189.5020000935,0.2,0.0922508992399808,5520.2988,6416.2036,889.1634,64.8022,22.8812,18.0962,226.4994
"14","AS14.01",2014-04-08,6.6,2,4,1480.1048,85.103,0,136.496,0,2.2,-0.563333333333333,0.35,6.48,4.6,10887.0760000706,0.2,0.0820017013471998,4982.9044,6503.1754,709.9124,24.4724,22.8812,3.4214,152.2608
"15","AS14.01",2014-04-09,7.4,3,4,1380.2808,81.2866,0,107.1702,0,1.6,-0.403333333333333,0.416666666666667,6.52,4.6,9626.93540029526,0.2,0.0872194184577813,4697.1494,5511.0696,1144.482,13.0518,22.8812,3.4214,151.3832
"16","AS14.01",2014-04-10,7.4,4,4,1528.3114,49.6384,0,196.9036,0,2,-0.603333333333333,0.536666666666667,6.76,4.6,9862.71100049018,0,0.0859583791227819,4633.307,5650.1592,1023.5906,13.0518,22.8812,3.4214,185.3538
"17","AS14.01",2014-04-11,7,5,4,1690.6132,12.0494,0,248.6498,0,3.4,-0.603333333333333,0.576666666666667,6.88,4.6,11053.8446003437,0,0.0779505397210709,1744.54,6249.3596,1380.0954,13.0518,23.093,8.0604,190.711
"18","AS14.01",2014-04-12,7.25,6,4,1745.6826,18.8962,0,282.3296,0,2.6,-0.693333333333333,0.636666666666667,6.98,4.8,11665.749400425,0,0.0810662202471894,1508.6138,6245.5294,1737.8802,31.8704,0.2118,8.0604,177.1774
"19","AS14.01",2014-04-13,8,0,4,1503.4854,7.853,0,311.6458,0,2.4,-0.71,0.736666666666667,7.13,4.8,12046.635000658,0,0.0853819083063895,1383.6276,6093.543,2085.7524,22.6448,0.2118,4.639,158.9144
"20","AS14.01",2014-04-14,7.2,1,4,979.3616,7.853,0,304.4172,0,2.2,-0.88,0.87,7.41,4.6,9427.55880012513,0,0.0731207624449939,1294.5728,4417.3914,1442.335,35.3012,0.2118,4.639,135.8534
"21","AS14.01",2014-04-15,6.4,2,4,998.4886,13.6738,0,386.1482,0,1.6,-0.96,0.79,7.37,4.6,10312.9905997753,0.2,0.0658214024325049,1159.1656,4479.233,2507.2922,53.1658,0.2118,4.639,95.5418
"22","AS14.01",2014-04-16,7.2,3,4,1649.1872,15.3464,0,366.5694,0,1.8,-0.88,0.79,7.17,4.6,11170.8153995991,0.4,0.0680512119496718,1335.3658,4747.797,2324.418,55.7744,0,0,96.041
"23","AS14.01",2014-04-17,6.6,4,4,1912.3962,8.4996,0,368.3572,0,1.8,-0.49,0.73,7.21,4.6,11569.9411993504,0.6,0.0752760387604841,846.2822,5115.4818,2014.5372,36.9558,0,0,93.9074
"24","AS14.01",2014-04-18,6.8,5,4,2280.939,7.4934,0,307.8224,0,2.2,-0.42,0.7,7.08,4.8,12223.4753993035,0.6,0.0722097978008398,896.2332,6167.133,1605.689,36.9558,0,0,88.8534
"25","AS14.01",2014-04-19,7.8,6,4,2672.823,20.2682,0,325.5584,0,2.4,-0.33,0.66,6.84,5,14520.4709993839,0.6,0.0882121333489609,1178.9298,7016.1054,1710.6814,44.3058,0,0,79.5694
"26","AS14.01",2014-04-20,7.25,0,4,2167.7604,40.2254,0,189.5148,0,2.4,-0.13,0.74,6.96,5,13582.0309996605,0.4,0.0913210527997521,1175.8516,6264.5006,551.425,45.567,5.8168,0,56.8466
"27","AS14.01",2014-04-21,7.6,1,4,1729.6668,38.5528,0,157.7632,0,1.2,-0.18,0.73,7.13,4.8,12533.6900000572,0.6,0.0882618708522302,1035.9976,6016.5992,508.019,45.0796,5.8168,0,41.604
"28","AS14.01",2014-04-22,7.4,2,4,1432.8908,52.2084,0,155.2222,0,1.6,-0.38,0.83,7.21,4.8,10795.7932001114,0.4,0.0854480154204552,1539.7214,5382.4654,437.6482,51.7328,5.8168,0,45.057
"29","AS14.01",2014-04-23,7.6,3,4,1295.9712,52.2084,0,229.9216,0,1.6,-0.26,0.91,7.37,4.8,10890.1511998177,0.4,0.0924503544504943,1871.872,5283.9802,629.4034,59.4234,5.8168,0,46.9364
"30","AS14.01",2014-04-24,7.6,4,4,1002.5064,39.4336,0,261.5744,0,1.6,-0.06,0.95,7.53,4.8,11099.0733997822,0.4,0.0828408909382522,1725.8608,6001.3432,544.018,39.201,5.8168,0,45.8582
"31","AS14.01",2014-04-25,7.2,5,4,1460.8792,23.8924,0,343.6546,0,1.6,-0.1,0.95,7.49,4.8,12857.7193996906,0.4,0.073135106232291,1829.877,7394.1178,1343.1582,62.0626,0,0,45.9484
"32","AS14.01",2014-04-26,7.6,6,4,1458.8696,36.5556,0,389.0424,0,1.6,-0.09,0.96,7.48,5,13983.8041995525,0.2,0.0799840703510332,1813.9824,7853.0018,1327.8262,64.1556,0,0,52.8774
"33","AS14.01",2014-04-27,7.5,0,4,1846.7506,117.0546,0.6296,410.0186,0,1.8,-0.08,0.96,7.48,5,16313.6097995758,1,0.102425612882231,1298.4398,7965.7038,1337.9614,62.9558,0,0,50.5086
"34","AS14.01",2014-04-28,7.6,1,4,1567.735,117.0546,0.6296,337.4432,0,1.4,-0.12,0.96,7.5,4.8,14355.6681997299,1,0.0901354872775651,1114.1118,6179.8208,1419.8022,55.2652,0,0,249.2134
"35","AS14.01",2014-04-29,7,2,4,1947.202,117.0546,0.6296,364.093,0,1.6,-0.32,0.92,7.5,4.8,13610.1661997795,1,0.0848734139584918,1150.3436,5333.6008,1660.0044,144.7056,0,0,255.2506
"36","AS14.01",2014-04-30,7.8,3,4,1491.7918,115.2142,0.6296,302.9408,0,1.4,-0.29,0.92,7.38,4.8,10767.528999567,1,0.0952444660255857,1915.072,4162.1032,1079.516,102.7182,66.661,0,256.9584
"37","AS14.01",2014-05-01,8,4,5,1064.0862,157.1106,0.6296,255.805,0,1.2,-0.33,0.91,7.5,4.8,9807.86159944534,0.8,0.10364254510637,1920.542,3416.398,1050.322,173.5084,66.661,0,280.3456
"38","AS14.01",2014-05-02,7.6,5,5,1574.1992,62.956,0,246.5662,0,2,-0.37,0.91,7.58,4.8,9814.84819927216,0.8,0.0682058444110541,2122.8608,4541.1086,1119.384,432.2758,66.661,5.6196,279.9906
"39","AS14.01",2014-05-03,8,6,5,1722.9584,62.956,0,236.7152,0,2,-0.41,0.91,7.6,5,11692.4395994186,0.8,0.0775782635106165,2023.6852,5639.9926,887.9174,646.2254,66.661,5.6196,75.1424
"40","AS14.02",2014-03-21,7.5,5,3,135.2792,113.433,0,0,0,7.6,0.2,0.49,7.06666666666667,4.2,6423.59160075188,0.8,0.212266411317843,1920.6898,3270.8772,606.5664,0,0,0,158.584
"41","AS14.02",2014-03-22,6.5,6,3,176.5652,201.8922,0,0,0,8.8,0.05,0.64,7.3,4.4,7674.23640065193,0.8,0.246367488233372,1879.3412,3212.2006,680.8088,0,0,0,84.5516
"42","AS14.02",2014-03-23,6.25,0,3,237.693,358.0156,0,0,0,13,-0.25,0.44,7.25,4.4,7160.19500098229,1,0.301962542609887,2019.525,2679.0286,311.1554,0,0,0,72.4526
"43","AS14.02",2014-03-24,6.4,1,3,229.619,610.6534,0,0,0,11.6,-0.57,0.28,6.86,4.2,7163.40620083809,1,0.312005097165506,1677.522,2260.3922,370.9864,0,0,0,67.0812
"44","AS14.02",2014-03-25,7.75,2,3,266.6162,497.2204,0,0,0,11.6,-0.61,0.16,6.78,4.2,6080.18460068703,0.8,0.280103678295677,1581.3096,2343.4306,438.1612,0,0,0,62.3356
"45","AS14.02",2014-03-26,7.2,3,3,269.986,497.2204,0,0,0,11,-0.76,0.16,6.88,4.2,6135.59540042878,0.6,0.278401417224899,1787.1004,2470.3066,500.443,0,0,0,55.0392
"46","AS14.02",2014-03-27,7.25,4,3,504.7864,408.7612,0,0,0,10,-0.85,0.09,6.82,4.4,5118.35120077134,0.4,0.279266524726046,1688.3886,2405.3872,561.9512,0,0,0,55.8404
"47","AS14.02",2014-03-28,6.8,5,3,439.3262,252.6378,0,13.4326,0,5.6,-0.65,0.29,6.97,4.4,4749.83499994278,0.2,0.235827589143896,1755.7602,2634.3446,527.5252,0,0,0,193.5702
"48","AS14.02",2014-03-29,7.25,6,3,948.3704,0,0,13.4326,0,5.6,-0.57,0.41,7.08,4.6,4638.04579963684,0.4,0.234207823352817,1787.482,2515.3902,591.4336,0,0,0,206.331
"49","AS14.02",2014-03-30,7,0,3,1006.581,100.3288,0,13.4326,0,5.4,-0.76,0.5,7.25,4.4,4965.36459927559,0.4,0.289476761864596,5056.0388,2341.2518,697.6846,0,0,0,200.5376
"50","AS14.02",2014-03-31,7.2,1,3,1041.4718,100.3288,0,13.4326,0,6,-0.71,0.5,7.1,4.4,4825.29539904594,0.6,0.291751492652099,4649.21,2005.6728,861.4856,0,0,0,213.1082
"51","AS14.02",2014-04-01,7.4,2,4,1136.7934,100.3288,0,13.4326,0,7.8,-0.63,0.5,7.1,4.4,4566.19859871864,1,0.264235384903786,4539.121,1995.1674,779.0496,0,0,0,221.0664
"52","AS14.02",2014-04-02,6.4,3,4,1158.7444,169.3688,0,0,0,7.6,-0.67,0.56,7.13,4.6,4076.34999837875,1.2,0.270857689557167,4643.699,1660.2808,696.2886,0,0,0,111.9784
"53","AS14.02",2014-04-03,5.75,4,4,678.8816,169.3688,0,0,0,6.4,-0.67,0.4,7.05,4.6,4659.19939889908,0.8,0.282362136301465,4825.918,1999.74,759.0514,0,0,0,112.5934
"54","AS14.02",2014-04-04,6.4,5,4,598.595,132.6988,0,0,0,6,-0.57,0.35,6.75,4.6,5141.41079955101,0.8,0.260369433271384,1596.5218,2290.5284,656.1552,0,0,0,113.2516
"55","AS14.02",2014-04-05,7.4,6,4,562.2788,132.6988,0,0,0,5,-0.61,0.24,6.63,4.8,5084.67639994621,0.6,0.257446042834383,1666.3022,2630.2444,562.382,0,0,0,120.3764
"56","AS14.02",2014-04-06,4.5,0,4,206.2748,210.313,0,0,0,4,-0.45,0.28,6.67,4.8,6743.43240041733,0.4,0.290555402597632,1820.4598,2595.9118,650.2858,0,0,0,124.2076
"57","AS14.02",2014-04-07,6.8,1,4,246.359,141.273,0,0,0,4.8,-0.61,-0.13,6.09,4.6,6813.87840070725,0.2,0.281205200191992,1377.734,2576.2542,758.6866,0,0,0,92.9272
"58","AS14.02",2014-04-08,6.25,2,4,584.4156,141.273,0,0,0,4.8,-0.49,0.03,6.17,4.6,6710.41820001603,0.2,0.244685834711285,1281.4816,2740.0054,701.979,0,0,0,88.408
"59","AS14.02",2014-04-09,7.25,3,4,687.182,77.6142,0,0,0,6.4,-0.49,0.13,6.27,4.6,6163.38859972954,0.4,0.2325748742536,1264.5774,2474.0902,630.9176,0,0,0,104.0684
"60","AS14.02",2014-04-10,7.25,4,4,717.7822,77.6142,0,0,0,7.8,-0.35,0.14,6.44,4.4,6584.19979968072,0.6,0.236562772540786,1325.644,2363.312,594.4192,0,0,0,86.5774
"61","AS14.02",2014-04-11,6.5,5,4,779.4214,105.0226,0,0.409,0,6.2,-0.3,0.17,6.41,4.2,5539.46239910126,0.6,0.22432894881334,1194.917,2446.6276,574.5872,0,0,0,94.6408
"62","AS14.02",2014-04-12,6,6,4,765.042,231.2084,0,0.409,0,6.4,-0.2,0.52,6.81,4.2,5971.47479963303,0.8,0.266183330242857,1389.2784,2670.5218,590.936,0,0,0,115.8642
"63","AS14.02",2014-04-13,7.2,0,4,394.8436,303.6454,0,1.8062,0,7.2,-0.6,0.2,6.65,3.4,5429.93320021629,1,0.314538930026045,1458.0224,2221.6394,443.3528,0,0,0,96.8378
"64","AS14.02",2014-04-14,8,1,4,292.2072,335.5746,0,1.8062,0,5.4,-0.67,0.18,6.84,3.6,5049.07699985504,0.8,0.320112746158293,1323.2494,1939.5122,478.9608,0,0,0,85.7734
"65","AS14.02",2014-04-15,7.25,2,4,244.7064,335.5746,0,18.7038,0,4.6,-0.42,0.33,6.99,3.6,4452.20039992332,2,0.30808558658374,1199.8394,1852.8986,372.668,0,0,0,77.7304
"66","AS14.02",2014-04-16,6.66666666666667,3,4,136.4222,230.552,0,18.2948,0,7.2,-0.57,0.28,6.99,3.6,3023.61000027656,2,0.290661242450819,958.8022,1396.8346,237.5348,0,0,0,49.4876
"67","AS14.02",2014-04-17,6.5,4,4,72.4932,104.3662,0,18.2948,0,9,-0.536666666666667,0.246666666666667,7.02333333333333,3.4,1883.46079998016,2,0.276420227644402,674.1904,928.076,97.39,0,0,0,22.262
"68","AS14.02",2014-04-18,6.5,5,4,41.0548,31.9292,0,16.8976,0,9.8,-0.0866666666666666,0.446666666666667,7.12333333333333,4,1159.94399967194,3.2,0.294776974999088,309.2582,632.2428,97.39,0,0,0,20.0588
"69","AS14.02",2014-04-19,5.66666666666667,6,4,16.4406,0,0,16.8976,0,10.2,0.0333333333333334,0.366666666666667,6.98333333333333,3.8,724.969800138474,3.2,0.26063745940702,207.0756,461.199,23.086,0,0,0,4.2364
"70","AS14.02",2014-04-20,5,0,4,5.0772,0,0,0,0,8.8,-0.25,0.1,6.51666666666667,3.6,207.825599956512,1.8,0.323222649372595,47.0992,111.1718,3.9316,0,0,0,0
"71","AS14.02",2014-04-21,5.5,1,4,0,0,0,0,0,7.8,-0.283333333333333,0,6.06666666666667,3.4,67.5681998729706,2.2,0.31232138080135,27.446,21.9884,0,0,0,0,0
"72","AS14.02",2014-04-22,5.66666666666667,2,4,0,0,0,0,0,6.2,-0.316666666666667,-0.166666666666667,5.83333333333333,3.2,45.711399936676,2,0.265490618210572,2.4194,21.9884,0,0,0,0,0
"73","AS14.02",2014-04-23,5.5,3,4,21.3774,0,0,0,0,7.2,-0.633333333333333,-0.233333333333333,5.66666666666667,3,40.0804000377655,1,0.186473524193478,2.018,14.4682,0,0,0,0,0
"74","AS14.02",2014-04-24,7,4,4,21.3774,0,0,0,0,8,-0.633333333333333,-0.133333333333333,5.46666666666667,2.6,40.0804000377655,1.2,0.191220444700414,2.018,14.4682,0,0,0,0,0
"75","AS14.03",2014-03-26,8.25,3,3,0,88.79,11.6776,7.6658,8.9708,4.6,0.12,1.36,8.12,4.4,3879.19720034599,1,0.126853211061364,455.892,1454.758,2372.4782,117.8248,0,87.689,373.796
"76","AS14.03",2014-03-27,7.75,4,3,0,91.358,13.2074,7.6658,8.9708,3.8,0.02,1.16,7.97,4.8,4343.40179991722,0.6,0.121259343224932,446.0088,1368.768,2654.4494,135.253,0,89.8166,279.6144
"77","AS14.03",2014-03-28,8,5,3,0,57.649,13.2074,10.2938,8.9708,2.8,-0.09,1.06,7.96,4.6,4469.82080016136,0.6,0.103620832235661,467.2584,1463.4014,2202.096,135.253,0,92.504,273.7776
"78","AS14.03",2014-03-29,8.6,6,3,0,2.568,25.9648,11.7028,0,3.2,-0.15,1.12,7.92,4.4,4110.24179968834,0.4,0.104507350152632,424.2484,1350.9528,2524.176,127.9802,0,69.3456,272.747
